old_url,old_handle,old_title,redirects_to,mapping,redirect_live,redirect_live_target,matches_plan,deleted,old_collection_id
/collections/kids-perfume,kids-perfume,Kids Perfumes – Safe & Gentle Perfume for Children by Fragrance Secrets,/collections/kids,mapped,yes,/collections/kids,yes,,gid://shopify/Collection/295118536817
/collections/lattafa-perfumes,lattafa-perfumes,Lattafa Perfumes Collection – Buy Original Lattafa Fragrances Online at Fragrance Secrets,/collections/lattafa,renamed,yes,/collections/lattafa,yes,,gid://shopify/Collection/294339018865
/collections/laverne-perfumes-collection-buy-original-laverne-perfume-online-fragrance-secrets,laverne-perfumes-collection-buy-original-laverne-perfume-online-fragrance-secrets,Laverne Perfumes Collection - Buy Original Laverne Perfume Online - Fragrance Secrets,/collections/all,none,yes,/collections/all,yes,,gid://shopify/Collection/307711213681
/collections/maison-asrar-perfumes-discover-luxury-fragrances-fragrance-secrets,maison-asrar-perfumes-discover-luxury-fragrances-fragrance-secrets,Maison Asrar Perfumes – Discover Luxury Fragrances - Fragrance Secrets,/collections/all,none,yes,/collections/all,yes,,gid://shopify/Collection/310538338417
/collections/mancera-perfumes,mancera-perfumes,Mancera Paris Perfumes by Fragrance Secrets – Beast Mode Long-Lasting Eau De Parfum,/collections/mancera,renamed,yes,/collections/mancera,yes,,gid://shopify/Collection/286139089009
/collections/marxelle,marxelle,Marxzelle – Modern Interpretations of Classic Scents,/collections/all,none,yes,/collections/all,yes,,gid://shopify/Collection/287147884657
/collections/men-s-perfumes-collection-buy-original-men-s-perfumes-online-at-fragrance-secrets,men-s-perfumes-collection-buy-original-men-s-perfumes-online-at-fragrance-secrets,Men’s Perfumes Collection – Buy Original Men’s Perfumes Online at Fragrance Secrets,/collections/mens,mapped,yes,/collections/mens,yes,,gid://shopify/Collection/309909815409
/collections/mens-collection,mens-collection,Perfume for Men Collection | Men’s Perfume Brands in UAE – Fragrance Secrets,/collections/mens,mapped,yes,/collections/mens,yes,,gid://shopify/Collection/292057841777
/collections/musk-perfumes-collection-buy-original-musk-perfumes-online-at-fragrance-secrets,musk-perfumes-collection-buy-original-musk-perfumes-online-at-fragrance-secrets,Musk Perfumes Collection – Buy Original Musk Perfumes Online at Fragrance Secrets,/collections/all,none,yes,/collections/all,yes,,gid://shopify/Collection/309914108017
/collections/new-arrivals-perfume-collection-shop-new-fragrances-online-at-fragrance-secrets,new-arrivals-perfume-collection-shop-new-fragrances-online-at-fragrance-secrets,New Arrivals Perfume Collection – Shop New Fragrances Online at Fragrance Secrets,/collections/new-arrivals,renamed,yes,/collections/new-arrivals,yes,,gid://shopify/Collection/309915517041
